word,phonetic_symbol,word_attr,meanings,en_sentence1,cn_sentence1,en_sentence2,cn_sentence2,en_sentence3,cn_sentence3

he,"英 [hi], 美 [hi]","pron.,n.","他，它；一个人；,雄性动物；",He could never quite remember all our names...,他永远也无法记住我们所有人的名字。,"He lives in Rapid City, South Dakota...",他住在南达科他州的拉皮德市。,"The teacher should encourage the child to proceed as far as he can, and when he is stuck, ask for help.",老师应该鼓励孩子尽量自己去做，遇到困难时，寻求帮助。
be,"英 [bi], 美 [bi]","v.,aux.","是；有，存在；做，成为；发生,用来表示某人或某物即主语本身，用来表示某人或某物属于某一群体或有某种性质；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",This is happening in every school throughout the country...,全国各地每所学校都在发生这样的事情。,She didn't  always think carefully about what she was doing...,她对自己在做的事情并不总是考虑得很清楚。,Forensic experts were called in...,法医专家被请来。
a,"英 [ə], 美 [eɪ]",art.,一（个）；每一（个）；任一（个）；,A waiter entered with a tray...,侍者端着托盘进来了。,He started eating an apple...,他开始吃苹果。,...expensive make-up that we saw being advertised by a beautiful model...,我们所见的由一位漂亮模特代言的昂贵化妆品
and,"英 [ənd], 美 [ənd, ən,ænd]",conj.,和，与；而且；于是，然后；因此,"When he returned, she and Simon had already gone...",他回来时，她和西蒙已经走了。,Between 1914 and 1920 large parts of Albania were occupied by the Italians...,在1914年至1920年间阿尔巴尼亚的大部分地区被意大利人占据。,Learning becomes more and more difficult as we get older...,随着年龄增长，学习变得越来越难。
of,"英 [əv], 美 [ʌv]","prep.,aux.","关于；属于…的；由…制成；,助动词  [非标准用语、方言] =have [主用于虚拟语气]；",The average age of the women interviewed was only 21.5.,参加面试的女性平均年龄才21.5岁。,...the population of this town...,该镇的人口,Would you say what you felt was a feeling of betrayal?...,你是否觉得有一种被人出卖的感觉？
to,"英 [tə], 美 [tu,tə]","prep.,adv.","向，朝着；到；关于；属于,朝一个方向的；到某种状态；关闭；",Two friends and I drove to Florida during college spring break...,我和两个朋友在大学春假期间开车去了佛罗里达。,Ramsay made a second visit to Italy.,拉姆齐第二次访问意大利。,We went to a party at the leisure centre...,我们去休闲活动中心参加了一个聚会。
the,"英 [ðə], 美 [ðə]",art.,指已提到的人（物）；指说话人与听者已知的人（物）；用于独一无二的事物前；与形容词最高级和序数词连用,"A waiter came and hovered. John caught my look and we both got up and, ignoring the waiter, made our way to the buffet...",一个侍者走了过来，候在附近。约翰领会了我的眼神，我们两个都站了起来，没有理睬那个侍者，朝自助餐台走去。,Six of the 38 people were Russian citizens.,38 个人中有 6 个是俄罗斯公民。,There has been a slight increase in the consumption of meat...,肉类消费量略有增长。
in,"英 [ɪn], 美 [ɪn]","prep.,adv.,adj.,n.","采用（某种方式）；穿着，带着；（表示位置）在…里面，（表示领域，范围）在…以内；（表示品质、能力等）在…之中,在家；进入，到达；流行；当选,在内的，朝内的；在位的，执政的；[口语]流行的，时髦的；（车等）到站的,执政党，掌权者；知情者；入口，门路；（板球或棒球）攻球的一方,复数：
                                                            ",He was in his car.,他坐在他的车里。,...clothes hanging in the wardrobe...,挂在衣柜里的衣服,We spent a few days in a hotel...,我们在一家宾馆住了几天。
it,"英 [ɪt], 美 [ɪt]","pron.,n.","它；他；正好是所需的；事实[情况],傻瓜，笨蛋；绝妙的人；理想的东西；登峰造极",He saw the grey Land-Rover down the bypass. It was more than a hundred yards from him...,"他看见那辆灰色的路虎越野车停在不远处的边道上,离他一百码开外。","It's a wonderful city, really. I'll show it to you if you want...","这真是一座很棒的城市,如果你愿意的话我领你看看。","She could, if she wanted, compel him, through a court of law, to support the child after it was born...","如果她愿意,她可以通过法庭强制他在孩子出生以后抚养孩子。"
have,"英 [həv], 美 [hæv]","aux.,vt.,n.","用以构成完成式及完成式的不定式，表示已经…；,有，具有；拿，取得；从事；必须，不得不,〈口〉有产者，有钱人；富国；〈英俚〉欺骗，诈骗；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Alex has already gone...,亚历克斯已经走了。,I've just seen a play that I can highly recommend...,我刚看了一场话剧，我强烈推荐。,"When I met her, she had just returned from a job interview...",我遇见她时，她刚参加完一场求职面试回来。
they,"英 [ðeɪ], 美 [ðe]",pron.,他/她/它们；人们，大家；政府，当局；她们,The two men were far more alike than they would ever admit...,那两个人也许不承认，可他们非常相像。,"People matter because of what they are, not what they have...",人之所以重要，不在于他们拥有什么，而在于他们是什么样的人。,The teacher is not responsible for the student's success or failure. They are only there to help the student learn...,教师对学生的成败并不负有责任，其职责只是帮助学生学习。
I,[aɪ],n.,（第一人称单数代词，用作动词的主语）我；英文字母i；,Jim and I are getting married...,我和吉姆就要结婚了。,"She liked me, I think.",我觉得，她曾喜欢过我。,,
that,"英 [ðæt], 美 [ðæt, ðət]","det.,pron.,conj.,adv.","那个，那；,那个，那；,多么；如此…以至；用于某些动词、形容词和名词后，引出各种从句；,不那么；那样；,复数：
                                                            ",They said you particularly wanted to talk to me. Why was that?...,他们说你特别想和我谈谈。为什么？,"'Hey, is there anything the matter with my sisters?' — 'Is that why you're phoning?'...",“喂，我的姐妹们没事儿吧？”——“你打电话就为这个？”,"The Commissioners get between £50,000 and 60,000 a year in various allowances. But that amount can soar to 90,000 a year...",委员们每年领取的各种津贴在 5 万到 6 万英镑之间，但最高可达 9 万英镑。
as,"英 [əz], 美 [æz,əz]","adv.,prep.,conj.,n.","同样地，一样地；例如；,作为，以…的身份；如同；,像，像…一样；由于；同时，当…时；尽管,阿斯（古罗马重量单位，约373克）；",Another policeman has been injured as fighting continued this morning...,今早又有一名警员在冲突中受伤。,All the jury's eyes were on him as he continued...,在他继续陈述的时候，全体陪审员的目光都集中在他身上。,I never went through a final exam that was as difficult as that one...,我从来没有碰到过像那次那么难的期末考试。
with,"英 [wɪð], 美 [wɪθ]",prep.,和，跟；随着；关于；和…一致,With her were her son and daughter-in-law...,和她在一起的是她的儿子和儿媳。,She is currently staying with her father at his home.,她现在陪父亲呆在家里。,"Serve hot, with pasta or rice and French beans...",趁热和意大利面或米饭以及四季豆一起端上桌。
